count,generation_bin,group,level,margin_mean,margin_median,margin_p90,suite
5260,all,type_i_D03I_Normal_soft_j50_i7101_a101_g50,run,0.4671596481187165,0.16116892841837593,1.2878826373488912,D03 Type-I
257010,all,D03 Type-I,suite,1.7131903754092443,1.0536425288235085,3.916296296296296,D03 Type-I
135,Generation 1,type_i_D03I_Normal_soft_j50_i7101_a101_g50,run,0.7337218011487077,0.7678132678130136,1.179826049377964,D03 Type-I
4835,Generation 1,D03 Type-I,suite,1.0013095703252988,0.6327102145104908,3.0634700023164223,D03 Type-I
870,1-10,type_i_D03I_Normal_soft_j50_i7101_a101_g50,run,0.9435233110172192,1.0484139709730511,1.321815718156972,D03 Type-I
40485,1-10,D03 Type-I,suite,1.4732001978364226,0.9357686443277575,3.735378510378511,D03 Type-I
1005,11-20,type_i_D03I_Normal_soft_j50_i7101_a101_g50,run,1.1266622839241787,1.2079651862871321,1.2947604891559301,D03 Type-I
53300,11-20,D03 Type-I,suite,1.711655694086163,1.0880707198946642,3.955,D03 Type-I
840,21-30,type_i_D03I_Normal_soft_j50_i7101_a101_g50,run,0.43811768841756576,0.2956705788860712,0.9139509462319716,D03 Type-I
54690,21-30,D03 Type-I,suite,1.7734911086610674,1.0463346350038731,4.028460272238049,D03 Type-I
1160,31-40,type_i_D03I_Normal_soft_j50_i7101_a101_g50,run,0.04372263712263495,0.0186059661346909,0.15071978727288893,D03 Type-I
53055,31-40,D03 Type-I,suite,1.7335401312034726,1.0498680356998153,3.93030303030303,D03 Type-I
1385,41-50,type_i_D03I_Normal_soft_j50_i7101_a101_g50,run,0.061633036709499406,0.009341188336851047,0.2577439024388639,D03 Type-I
55480,41-50,D03 Type-I,suite,1.8108885992439767,1.0874771383347346,3.93030303030303,D03 Type-I
4410,all,type_i_D03I_Normal_soft_j50_i7101_a202_g50,run,0.5604157844542207,0.6122440920006302,0.8464879699559646,D03 Type-I
115,Generation 1,type_i_D03I_Normal_soft_j50_i7101_a202_g50,run,0.5960905376515127,0.4319586257257282,1.0586754515869021,D03 Type-I
705,1-10,type_i_D03I_Normal_soft_j50_i7101_a202_g50,run,0.5409676333506379,0.45598368217701934,1.05084494117979,D03 Type-I
940,11-20,type_i_D03I_Normal_soft_j50_i7101_a202_g50,run,0.362675271112196,0.41061979773369794,0.6284136931073473,D03 Type-I
800,21-30,type_i_D03I_Normal_soft_j50_i7101_a202_g50,run,0.5451948644357857,0.5169904400050469,0.660060975609895,D03 Type-I
1075,31-40,type_i_D03I_Normal_soft_j50_i7101_a202_g50,run,0.6498415630769998,0.6408500474599939,0.701825657216085,D03 Type-I
890,41-50,type_i_D03I_Normal_soft_j50_i7101_a202_g50,run,0.690338315987692,0.7171082497628173,0.8769757748340106,D03 Type-I
2970,all,type_i_D03I_Normal_soft_j50_i7101_a303_g50,run,0.8961966912203021,0.8740989483285526,1.376130072103679,D03 Type-I
160,Generation 1,type_i_D03I_Normal_soft_j50_i7101_a303_g50,run,0.9264650889128697,0.930555433055296,1.384902682551922,D03 Type-I
825,1-10,type_i_D03I_Normal_soft_j50_i7101_a303_g50,run,0.783950082333308,0.8289648768787294,1.3094464506038794,D03 Type-I
825,11-20,type_i_D03I_Normal_soft_j50_i7101_a303_g50,run,0.9240942503637292,0.8334485418244917,1.376130072103679,D03 Type-I
425,21-30,type_i_D03I_Normal_soft_j50_i7101_a303_g50,run,0.8515618847226247,0.8334485418244917,0.9198306556456213,D03 Type-I
350,31-40,type_i_D03I_Normal_soft_j50_i7101_a303_g50,run,0.873743257271642,0.8740989483285526,0.9045867532065981,D03 Type-I
545,41-50,type_i_D03I_Normal_soft_j50_i7101_a303_g50,run,1.073107628251471,1.0202071411376346,1.4878957357455875,D03 Type-I
8550,all,type_i_D03I_Normal_soft_j50_i7102_a101_g50,run,0.6225235444171604,0.5395574983205322,1.0602200808387625,D03 Type-I
