count,generation_bin,group,level,p_above_threshold,p_argmax,p_argmax_given_above,ratio_iqr,ratio_max,ratio_mean,ratio_median,ratio_min,ratio_p90,ratio_p95,ratio_q1,ratio_q3,raw_max,raw_mean,raw_median,raw_min,raw_p90,raw_p95,raw_q1,raw_q3,severity,suite
5260,all,type_i_D03I_Normal_soft_j50_i7101_a101_g50,run,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,resource,D03 Type-I
5260,all,type_i_D03I_Normal_soft_j50_i7101_a101_g50,run,0.0,0.0,0.0,0.010141987829613574,0.08491508491507643,0.007470662631703293,0.005076142131979179,0.0,0.02024291497975503,0.0252780586450935,0.0,0.010141987829613574,0.016983016983015287,0.0014941325263406588,0.001015228426395836,0.0,0.004048582995951007,0.0050556117290187,0.0,0.002028397565922715,kv,D03 Type-I
5260,all,type_i_D03I_Normal_soft_j50_i7101_a101_g50,run,0.6914448669201521,0.25570342205323193,0.3698102832004399,0.6870116467639685,3.0992509363295877,1.262178063979355,1.5413533834586464,0.02967359050445104,1.5413533834586464,1.619475446428573,0.8543417366946778,1.5413533834586464,0.6198501872659176,0.25243561279587096,0.3082706766917293,0.005934718100890208,0.3082706766917293,0.3238950892857146,0.17086834733893558,0.3082706766917293,region,D03 Type-I
5260,all,type_i_D03I_Normal_soft_j50_i7101_a101_g50,run,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tou,D03 Type-I
5260,all,type_i_D03I_Normal_soft_j50_i7101_a101_g50,run,0.09543726235741445,0.0,0.0,0.05289818213817443,2.0986990950226243,0.7812312675163502,0.7253606946359551,0.6262854246301176,0.9721257716049382,1.2009522729236883,0.7107137627827328,0.7636119449209072,0.4197398190045249,0.15624625350327004,0.14507213892719104,0.12525708492602353,0.19442515432098764,0.24019045458473767,0.14214275255654657,0.15272238898418145,demand,D03 Type-I
5260,all,type_i_D03I_Normal_soft_j50_i7101_a101_g50,run,1.0,0.7442965779467681,0.7442965779467681,0.4192073170731281,2.614329268292417,1.7603541164330954,1.6819105691055198,1.4659552845526964,2.0815548780485718,2.2713414634144033,1.5396341463413068,1.9588414634144349,0.5228658536584834,0.3520708232866191,0.336382113821104,0.2931910569105393,0.4163109756097143,0.45426829268288066,0.30792682926826137,0.391768292682887,compressible,D03 Type-I
257010,all,D03 Type-I,suite,0.2043266798957239,0.13900237344850394,0.6564725596983662,0.7288135593220202,5.0,0.8205541054170978,0.02145922746781085,0.0,5.0,5.0,0.0,0.7288135593220202,1.0,0.16411082108341957,0.00429184549356217,0.0,1.0,1.0,0.0,0.14576271186440404,resource,D03 Type-I
257010,all,D03 Type-I,suite,0.024578810163028677,0.01762966421540018,0.7172708564191863,0.014971986802972473,3.9235412474848217,0.07777138165650599,0.010351966873705766,0.0,0.03324468085106334,0.2932551319647807,0.00426803243704646,0.019240019240018932,0.7847082494969644,0.015554276331301199,0.0020703933747411533,0.0,0.006648936170212667,0.05865102639295614,0.0008536064874092921,0.0038480038480037866,kv,D03 Type-I
257010,all,D03 Type-I,suite,0.7339052955137932,0.466581066884557,0.6354647679738735,2.204894752209804,5.0,2.1919076940921816,1.6907514450867045,0.0,5.0,5.0,0.9653465346534664,3.1702412868632703,1.0,0.43838153881843633,0.3381502890173409,0.0,1.0,1.0,0.1930693069306933,0.6340482573726541,region,D03 Type-I
257010,all,D03 Type-I,suite,0.15968250262635694,0.12995603283918913,0.8138401559454191,0.0,2.5034615616157967,0.3643558770726873,0.0,0.0,2.2595078299776286,2.3113373113373115,0.0,0.0,0.5006923123231594,0.07287117541453747,0.0,0.0,0.4519015659955258,0.4622674622674623,0.0,0.0,tou,D03 Type-I
