count,generation,mean,median,p_above_threshold,p_argmax,severity,suite
4835,1,0.8315989048025546,0.0,0.2359875904860393,0.1408479834539814,resource,D03 Type-I
4835,1,0.30185548537456736,0.01558603491271788,0.10093071354705274,0.06204756980351603,kv,D03 Type-I
4835,1,1.4749110260793303,1.3724259166248112,0.6728024819027921,0.19627714581178904,region,D03 Type-I
4835,1,0.2727904794387568,0.0,0.11789038262668046,0.10486039296794208,tou,D03 Type-I
4835,1,1.6432588705751465,1.6071449799984545,0.9631851085832471,0.2647362978283351,demand,D03 Type-I
4835,1,1.086885372776107,0.5668789808917077,0.4705274043433299,0.2312306101344364,compressible,D03 Type-I
4015,2,0.7089816839649651,0.0,0.19402241594022415,0.10809464508094645,resource,D03 Type-I
4015,2,0.2701119584057681,0.012666244458517783,0.0941469489414695,0.058530510585305104,kv,D03 Type-I
4015,2,1.7811210502967725,1.5494978479196555,0.7205479452054795,0.31183063511830633,region,D03 Type-I
4015,2,0.24284313199746232,0.0,0.10460772104607721,0.09315068493150686,tou,D03 Type-I
4015,2,1.5671864577258627,1.532815930090563,0.9574097135740971,0.25379825653798255,demand,D03 Type-I
4015,2,0.965225368343761,0.4651941097724127,0.46824408468244083,0.1745952677459527,compressible,D03 Type-I
3575,3,0.8215929317427116,0.016733601070950094,0.2151048951048951,0.13566433566433567,resource,D03 Type-I
3575,3,0.24024386489635371,0.013351134846461653,0.0786013986013986,0.057342657342657345,kv,D03 Type-I
3575,3,1.989368021114394,1.7272727272727268,0.7809790209790209,0.35468531468531467,region,D03 Type-I
3575,3,0.23593456363575452,0.0,0.1020979020979021,0.10125874125874126,tou,D03 Type-I
3575,3,1.504663610260874,1.4751122434200998,0.9432167832167833,0.20587412587412587,demand,D03 Type-I
3575,3,0.8349103285807001,0.3294573643410782,0.4307692307692308,0.14517482517482516,compressible,D03 Type-I
3545,4,0.9682282308195932,0.16733601070950097,0.24456981664315938,0.1613540197461213,resource,D03 Type-I
3545,4,0.17153514464737088,0.011086474501108556,0.05923836389280677,0.04767277856135402,kv,D03 Type-I
3545,4,2.2118122198754784,1.818873668188737,0.7379407616361072,0.42087447108603665,region,D03 Type-I
3545,4,0.22558356360669773,0.0,0.09732016925246827,0.08349788434414669,tou,D03 Type-I
3545,4,1.4672118811710113,1.4437191262588085,0.9105782792665726,0.1856135401974612,demand,D03 Type-I
3545,4,0.6641079687874929,0.18406961178045106,0.3554301833568406,0.10098730606488011,compressible,D03 Type-I
3970,5,0.8941366488646896,0.13176144244105104,0.22267002518891688,0.1428211586901763,resource,D03 Type-I
3970,5,0.19198474700263476,0.012340600575894523,0.06826196473551638,0.04508816120906801,kv,D03 Type-I
3970,5,2.203047970570883,1.8834080717488788,0.7435768261964736,0.43828715365239296,region,D03 Type-I
3970,5,0.24744711747577597,0.0,0.1070528967254408,0.09168765743073048,tou,D03 Type-I
3970,5,1.412213347827709,1.3731796869729473,0.8916876574307305,0.190176322418136,demand,D03 Type-I
3970,5,0.6355692129758667,0.144628903209735,0.3574307304785894,0.09193954659949623,compressible,D03 Type-I
4060,6,0.9618723247187454,0.12048192771084068,0.24310344827586206,0.15615763546798028,resource,D03 Type-I
4060,6,0.1354171502859572,0.0119832277890261,0.050985221674876846,0.03793103448275862,kv,D03 Type-I
4060,6,2.133569011643212,1.8174846625766872,0.711576354679803,0.4253694581280788,region,D03 Type-I
4060,6,0.3205901680154077,0.0,0.13916256157635468,0.12586206896551724,tou,D03 Type-I
4060,6,1.3807179593333243,1.3402356902356904,0.875615763546798,0.1768472906403941,demand,D03 Type-I
4060,6,0.5686456014412297,0.11095700416088508,0.31477832512315274,0.07783251231527094,compressible,D03 Type-I
3975,7,1.0840435568512712,0.11378848728246066,0.2628930817610063,0.1851572327044025,resource,D03 Type-I
3975,7,0.16936857453290866,0.011081560283687779,0.06591194968553458,0.052075471698113204,kv,D03 Type-I
3975,7,2.0130625322764346,1.5912441037735852,0.699874213836478,0.3763522012578616,region,D03 Type-I
3975,7,0.3176069493936893,0.0,0.1371069182389937,0.12025157232704403,tou,D03 Type-I
3975,7,1.3570565916772381,1.3047924297924298,0.8493081761006289,0.18264150943396226,demand,D03 Type-I
3975,7,0.5701331209945472,0.09043927648578617,0.32251572327044026,0.08352201257861636,compressible,D03 Type-I
3650,8,1.0573230130046583,0.11442441054091275,0.26958904109589044,0.16904109589041097,resource,D03 Type-I
3650,8,0.14858781735375198,0.012987012987012707,0.057534246575342465,0.03616438356164384,kv,D03 Type-I
3650,8,1.9415742895686503,1.4602446483180413,0.6572602739726028,0.3693150684931507,region,D03 Type-I
3650,8,0.3320706087081218,0.0,0.14383561643835616,0.11671232876712329,tou,D03 Type-I
3650,8,1.3417263272775832,1.2930837599697247,0.8172602739726027,0.19726027397260273,demand,D03 Type-I
3650,8,0.5623790011222987,0.07751937984495957,0.30767123287671233,0.11150684931506849,compressible,D03 Type-I
4060,9,1.0217509426136613,0.09442060085836773,0.2571428571428571,0.17118226600985223,resource,D03 Type-I
4060,9,0.13660474655053226,0.010615711252653778,0.04753694581280788,0.03201970443349754,kv,D03 Type-I
4060,9,1.9782227841263098,1.4923469387755102,0.6908866995073891,0.382512315270936,region,D03 Type-I
4060,9,0.3656512387076043,0.0,0.15886699507389163,0.11699507389162561,tou,D03 Type-I
4060,9,1.3452802388537968,1.2841049382716048,0.8305418719211822,0.18152709359605912,demand,D03 Type-I
4060,9,0.5779360955926214,0.09235668789808722,0.30763546798029556,0.11576354679802955,compressible,D03 Type-I
4800,10,1.0025188133328664,0.04399736893799064,0.2529166666666667,0.16458333333333333,resource,D03 Type-I
4800,10,0.12287801899974796,0.011125954519751746,0.042083333333333334,0.021458333333333333,kv,D03 Type-I
4800,10,1.9850507126364478,1.774804641250296,0.680625,0.4075,region,D03 Type-I
4800,10,0.32288160658307147,0.0,0.140625,0.1125,tou,D03 Type-I
4800,10,1.3446451597234974,1.2834967320261437,0.828125,0.18541666666666667,demand,D03 Type-I
4800,10,0.5919287044460138,0.09699330172348697,0.31895833333333334,0.10854166666666666,compressible,D03 Type-I
4620,11,0.9441247880711102,0.037946428571428,0.24502164502164503,0.15324675324675324,resource,D03 Type-I
4620,11,0.10308537991320817,0.010231923601636874,0.0367965367965368,0.023809523809523808,kv,D03 Type-I
4620,11,1.9834694074862573,1.6581670447894352,0.693939393939394,0.43246753246753245,region,D03 Type-I
4620,11,0.39828622697283445,0.0,0.17316017316017315,0.1266233766233766,tou,D03 Type-I
