suite,state,action,n,positive,success,reward,no_feasible
D03-II,6,A2,409,91,0.22249388753056235,1.1724976395319793,0.0
D03-II,6,A3,255,27,0.10588235294117647,0.5924313794553144,0.0
D03-II,6,A4,177,19,0.10734463276836158,0.4953347516370405,0.05649717514124294
D03-II,6,A5,74,1,0.013513513513513514,-0.8687258694587975,0.9459459459459459
D03-II,6,A6,202,16,0.07920792079207921,0.42542446350572,0.0
D03-II,6,A7,954,302,0.3165618448637317,0.6408471674657517,0.0
D03-II,6,A8,192,26,0.13541666666666666,0.8231892931044782,0.1875
D03-II,7,A1,364,19,0.0521978021978022,0.23077863660863887,0.0
D03-II,7,A2,486,38,0.07818930041152264,0.36678166877468016,0.0
D03-II,7,A3,244,13,0.05327868852459016,0.1969916560338606,0.0
D03-II,7,A4,124,3,0.024193548387096774,-0.09341176756055838,0.0967741935483871
D03-II,7,A5,50,1,0.02,-0.857963411601637,0.94
D03-II,7,A6,192,2,0.010416666666666666,0.004006744055731439,0.0
D03-II,7,A7,873,204,0.23367697594501718,0.4039086255295357,0.0
D03-II,7,A8,133,8,0.06015037593984962,0.09034754626745757,0.18045112781954886
D03-II,8,A1,2043,479,0.2344591287322565,1.0337603726239633,0.0
D03-II,8,A2,2664,752,0.2822822822822823,1.1957400932388347,0.0
D03-II,8,A3,1830,374,0.20437158469945355,0.6719619712134888,0.0
D03-II,8,A4,1301,143,0.10991544965411222,0.32559932202834646,0.030745580322828592
D03-II,8,A5,469,6,0.01279317697228145,-0.8556592053188657,0.9104477611940298
D03-II,8,A6,1202,98,0.08153078202995008,0.5585181614456326,0.0
D03-II,8,A7,6082,2641,0.4342321604735284,0.8236210560777564,0.0
D03-II,8,A8,1013,132,0.13030602171767028,0.7066250499794293,0.21322803553800593
D03-II,9,A1,1677,199,0.11866428145497913,0.39867940265616986,0.0
D03-II,9,A2,2366,330,0.13947590870667795,0.5864113810443492,0.0
D03-II,9,A3,1469,107,0.07283866575901975,0.23342972225509293,0.0
D03-II,9,A4,779,50,0.06418485237483953,0.1163653824267393,0.038510911424903725
D03-II,9,A5,253,0,0.0,-0.8616600790513834,0.8616600790513834
D03-II,9,A6,751,5,0.006657789613848202,0.02726678565908016,0.0
D03-II,9,A7,4838,1539,0.31810665564282764,0.4633426081118412,0.0
D03-II,9,A8,563,39,0.06927175843694494,0.13326243290478504,0.23801065719360567
D03-II,10,A1,50,27,0.54,2.9946530762366295,0.0
D03-II,10,A2,61,35,0.5737704918032787,2.219417621747946,0.0
D03-II,10,A3,59,19,0.3220338983050847,2.0620337379068894,0.0
D03-II,10,A4,21,6,0.2857142857142857,1.6701775251967415,0.047619047619047616
D03-II,10,A5,12,0,0.0,-0.9166666666666666,0.9166666666666666
D03-II,10,A6,25,4,0.16,0.7373278226797454,0.0
D03-II,10,A7,51,24,0.47058823529411764,1.2173072020844282,0.0
D03-II,10,A8,9,3,0.3333333333333333,1.6623372467885689,0.0
D03-II,11,A1,20,7,0.35,1.110037388998455,0.0
D03-II,11,A2,2,1,0.5,0.17341541315401815,0.0
D03-II,11,A3,1,0,0.0,0.0,0.0
D03-II,11,A4,1,0,0.0,0.0,0.0
D03-II,11,A5,3,0,0.0,-1.0,1.0
D03-II,11,A7,13,6,0.46153846153846156,1.1241284505197553,0.0
D03-II,11,A8,3,0,0.0,-0.3333333333333333,0.3333333333333333
D03-II,12,A1,1,0,0.0,0.0,0.0
D03-II,12,A4,2,1,0.5,1.5384615229717857,0.0
D03-II,12,A5,1,0,0.0,-1.0,1.0
D03-II,12,A8,1,0,0.0,0.0,0.0
D03-II,20,A1,454,84,0.18502202643171806,0.7648739130582733,0.0
D03-II,20,A2,651,188,0.2887864823348694,1.5078440619900877,0.0
D03-II,20,A3,397,45,0.11335012594458438,0.581664987744742,0.0
D03-II,20,A4,420,57,0.1357142857142857,0.47151617692681164,0.009523809523809525
D03-II,20,A5,126,8,0.06349206349206349,-0.4483922681890167,0.6587301587301587
D03-II,20,A6,366,62,0.16939890710382513,1.1477129486606579,0.0
D03-II,20,A7,2563,1006,0.39250877877487317,0.8765886095093054,0.0
D03-II,20,A8,252,54,0.21428571428571427,1.1934752011571406,0.2896825396825397
D03-II,21,A1,203,16,0.07881773399014778,0.4745023350993211,0.0
D03-II,21,A2,277,16,0.05776173285198556,0.313573637844718,0.0
D03-II,21,A3,160,1,0.00625,0.0625,0.0
D03-II,21,A4,179,6,0.0335195530726257,0.1475144568317565,0.0
D03-II,21,A5,35,0,0.0,-0.8571428571428571,0.8571428571428571
D03-II,21,A6,108,6,0.05555555555555555,0.2726131175555408,0.0
D03-II,21,A7,891,235,0.26374859708193044,0.5500280053613984,0.0
D03-II,21,A8,71,4,0.056338028169014086,0.14852555636315026,0.2676056338028169
D03-II,22,A1,2114,488,0.23084200567644275,0.8985872749322427,0.0
D03-II,22,A2,2892,838,0.2897648686030429,1.3335372946792763,0.0
