suite,generation,condition,n,total,share
D03-II,35,Region,350,2215,0.1580135440180587
D03-II,35,TOU,1865,2215,0.8419864559819413
D03-II,35,Demand,0,2215,0.0
D03-II,35,Compressible,0,2215,0.0
D03-II,36,Normal,0,2115,0.0
D03-II,36,Resource,0,2115,0.0
D03-II,36,KV,0,2115,0.0
D03-II,36,Region,332,2115,0.15697399527186762
D03-II,36,TOU,1780,2115,0.8416075650118203
D03-II,36,Demand,3,2115,0.0014184397163120568
D03-II,36,Compressible,0,2115,0.0
D03-II,37,Normal,0,1890,0.0
D03-II,37,Resource,0,1890,0.0
D03-II,37,KV,0,1890,0.0
D03-II,37,Region,313,1890,0.16560846560846562
D03-II,37,TOU,1577,1890,0.8343915343915344
D03-II,37,Demand,0,1890,0.0
D03-II,37,Compressible,0,1890,0.0
D03-II,38,Normal,0,2165,0.0
D03-II,38,Resource,0,2165,0.0
D03-II,38,KV,0,2165,0.0
D03-II,38,Region,369,2165,0.17043879907621248
D03-II,38,TOU,1796,2165,0.8295612009237875
D03-II,38,Demand,0,2165,0.0
D03-II,38,Compressible,0,2165,0.0
D03-II,39,Normal,0,2090,0.0
D03-II,39,Resource,0,2090,0.0
D03-II,39,KV,0,2090,0.0
D03-II,39,Region,383,2090,0.18325358851674642
D03-II,39,TOU,1707,2090,0.8167464114832536
D03-II,39,Demand,0,2090,0.0
D03-II,39,Compressible,0,2090,0.0
D03-II,40,Normal,0,2055,0.0
D03-II,40,Resource,0,2055,0.0
D03-II,40,KV,0,2055,0.0
D03-II,40,Region,412,2055,0.20048661800486617
D03-II,40,TOU,1643,2055,0.7995133819951338
D03-II,40,Demand,0,2055,0.0
D03-II,40,Compressible,0,2055,0.0
D03-II,41,Normal,0,2235,0.0
D03-II,41,Resource,0,2235,0.0
D03-II,41,KV,0,2235,0.0
D03-II,41,Region,456,2235,0.2040268456375839
D03-II,41,TOU,1779,2235,0.7959731543624161
D03-II,41,Demand,0,2235,0.0
D03-II,41,Compressible,0,2235,0.0
D03-II,42,Normal,0,2285,0.0
D03-II,42,Resource,0,2285,0.0
D03-II,42,KV,0,2285,0.0
D03-II,42,Region,470,2285,0.20568927789934355
D03-II,42,TOU,1815,2285,0.7943107221006565
D03-II,42,Demand,0,2285,0.0
D03-II,42,Compressible,0,2285,0.0
D03-II,43,Normal,0,2080,0.0
D03-II,43,Resource,0,2080,0.0
D03-II,43,KV,0,2080,0.0
D03-II,43,Region,485,2080,0.23317307692307693
D03-II,43,TOU,1595,2080,0.7668269230769231
D03-II,43,Demand,0,2080,0.0
D03-II,43,Compressible,0,2080,0.0
D03-II,44,Normal,0,2230,0.0
D03-II,44,Resource,0,2230,0.0
D03-II,44,KV,0,2230,0.0
D03-II,44,Region,455,2230,0.2040358744394619
D03-II,44,TOU,1773,2230,0.795067264573991
D03-II,44,Demand,2,2230,0.0008968609865470852
D03-II,44,Compressible,0,2230,0.0
D03-II,45,Normal,0,2145,0.0
D03-II,45,Resource,0,2145,0.0
D03-II,45,KV,0,2145,0.0
D03-II,45,Region,485,2145,0.2261072261072261
D03-II,45,TOU,1660,2145,0.7738927738927739
D03-II,45,Demand,0,2145,0.0
D03-II,45,Compressible,0,2145,0.0
D03-II,46,Normal,0,2285,0.0
D03-II,46,Resource,0,2285,0.0
D03-II,46,KV,0,2285,0.0
D03-II,46,Region,465,2285,0.20350109409190373
D03-II,46,TOU,1820,2285,0.7964989059080962
D03-II,46,Demand,0,2285,0.0
D03-II,46,Compressible,0,2285,0.0
D03-II,47,Normal,0,2160,0.0
D03-II,47,Resource,0,2160,0.0
D03-II,47,KV,0,2160,0.0
D03-II,47,Region,335,2160,0.1550925925925926
D03-II,47,TOU,1825,2160,0.8449074074074074
D03-II,47,Demand,0,2160,0.0
D03-II,47,Compressible,0,2160,0.0
D03-II,48,Normal,0,2070,0.0
D03-II,48,Resource,0,2070,0.0
D03-II,48,KV,0,2070,0.0
D03-II,48,Region,330,2070,0.15942028985507245
D03-II,48,TOU,1740,2070,0.8405797101449275
D03-II,48,Demand,0,2070,0.0
D03-II,48,Compressible,0,2070,0.0
D03-II,49,Normal,0,1800,0.0
D03-II,49,Resource,0,1800,0.0
D03-II,49,KV,0,1800,0.0
D03-II,49,Region,240,1800,0.13333333333333333
D03-II,49,TOU,1560,1800,0.8666666666666667
D03-II,49,Demand,0,1800,0.0
D03-II,49,Compressible,0,1800,0.0
D03-II,50,Normal,0,1995,0.0
D03-II,50,Resource,0,1995,0.0
D03-II,50,KV,0,1995,0.0
D03-II,50,Region,325,1995,0.16290726817042606
D03-II,50,TOU,1670,1995,0.8370927318295739
D03-II,50,Demand,0,1995,0.0
D03-II,50,Compressible,0,1995,0.0
