suite,generation,condition,n,total,share
D03-I,19,Region,2585,5760,0.4487847222222222
D03-I,19,TOU,870,5760,0.15104166666666666
D03-I,19,Demand,1041,5760,0.18072916666666666
D03-I,19,Compressible,334,5760,0.05798611111111111
D03-I,20,Normal,53,5785,0.009161624891961971
D03-I,20,Resource,755,5785,0.13050993949870354
D03-I,20,KV,137,5785,0.023681936041486603
D03-I,20,Region,2721,5785,0.4703543647363872
D03-I,20,TOU,965,5785,0.16681071737251513
D03-I,20,Demand,928,5785,0.16041486603284355
D03-I,20,Compressible,226,5785,0.039066551426101985
D03-I,21,Normal,33,5555,0.005940594059405941
D03-I,21,Resource,749,5555,0.13483348334833484
D03-I,21,KV,90,5555,0.016201620162016202
D03-I,21,Region,2667,5555,0.4801080108010801
D03-I,21,TOU,820,5555,0.1476147614761476
D03-I,21,Demand,1025,5555,0.1845184518451845
D03-I,21,Compressible,171,5555,0.030783078307830784
D03-I,22,Normal,48,5925,0.00810126582278481
D03-I,22,Resource,830,5925,0.140084388185654
D03-I,22,KV,100,5925,0.016877637130801686
D03-I,22,Region,2745,5925,0.46329113924050636
D03-I,22,TOU,875,5925,0.14767932489451477
D03-I,22,Demand,1137,5925,0.1918987341772152
D03-I,22,Compressible,190,5925,0.032067510548523206
D03-I,23,Normal,86,5750,0.014956521739130434
D03-I,23,Resource,795,5750,0.13826086956521738
D03-I,23,KV,95,5750,0.01652173913043478
D03-I,23,Region,2730,5750,0.4747826086956522
D03-I,23,TOU,895,5750,0.15565217391304348
D03-I,23,Demand,1020,5750,0.17739130434782607
D03-I,23,Compressible,129,5750,0.022434782608695653
D03-I,24,Normal,76,4850,0.015670103092783504
D03-I,24,Resource,630,4850,0.12989690721649486
D03-I,24,KV,65,4850,0.013402061855670102
D03-I,24,Region,2395,4850,0.49381443298969074
D03-I,24,TOU,730,4850,0.15051546391752577
D03-I,24,Demand,886,4850,0.18268041237113403
D03-I,24,Compressible,68,4850,0.014020618556701031
D03-I,25,Normal,150,5630,0.02664298401420959
D03-I,25,Resource,725,5630,0.12877442273534637
D03-I,25,KV,65,5630,0.011545293072824156
D03-I,25,Region,2775,5630,0.4928952042628774
D03-I,25,TOU,740,5630,0.13143872113676733
D03-I,25,Demand,973,5630,0.1728241563055062
D03-I,25,Compressible,202,5630,0.035879218472468916
D03-I,26,Normal,170,5380,0.031598513011152414
D03-I,26,Resource,675,5380,0.12546468401486988
D03-I,26,KV,80,5380,0.01486988847583643
D03-I,26,Region,2610,5380,0.4851301115241636
D03-I,26,TOU,720,5380,0.13382899628252787
D03-I,26,Demand,972,5380,0.18066914498141265
D03-I,26,Compressible,153,5380,0.028438661710037175
D03-I,27,Normal,209,5330,0.03921200750469043
D03-I,27,Resource,680,5330,0.1275797373358349
D03-I,27,KV,80,5330,0.0150093808630394
D03-I,27,Region,2514,5330,0.47166979362101313
D03-I,27,TOU,730,5330,0.13696060037523453
D03-I,27,Demand,994,5330,0.18649155722326455
D03-I,27,Compressible,123,5330,0.023076923076923078
D03-I,28,Normal,196,5420,0.03616236162361624
D03-I,28,Resource,729,5420,0.1345018450184502
D03-I,28,KV,95,5420,0.017527675276752766
D03-I,28,Region,2521,5420,0.4651291512915129
D03-I,28,TOU,710,5420,0.13099630996309963
D03-I,28,Demand,977,5420,0.18025830258302583
D03-I,28,Compressible,192,5420,0.035424354243542434
D03-I,29,Normal,207,5575,0.037130044843049326
D03-I,29,Resource,746,5575,0.13381165919282512
D03-I,29,KV,75,5575,0.013452914798206279
D03-I,29,Region,2752,5575,0.4936322869955157
D03-I,29,TOU,640,5575,0.1147982062780269
D03-I,29,Demand,964,5575,0.17291479820627803
D03-I,29,Compressible,191,5575,0.03426008968609866
D03-I,30,Normal,182,5275,0.03450236966824644
D03-I,30,Resource,694,5275,0.13156398104265402
D03-I,30,KV,54,5275,0.010236966824644549
D03-I,30,Region,2516,5275,0.47696682464454976
D03-I,30,TOU,630,5275,0.11943127962085308
D03-I,30,Demand,978,5275,0.18540284360189574
D03-I,30,Compressible,221,5275,0.0418957345971564
D03-I,31,Normal,191,5115,0.037341153470185726
D03-I,31,Resource,610,5115,0.11925708699902249
D03-I,31,KV,60,5115,0.011730205278592375
D03-I,31,Region,2416,5115,0.472336265884653
D03-I,31,TOU,680,5115,0.13294232649071358
D03-I,31,Demand,954,5115,0.18651026392961878
D03-I,31,Compressible,204,5115,0.03988269794721408
D03-I,32,Normal,205,5225,0.03923444976076555
D03-I,32,Resource,640,5225,0.12248803827751197
D03-I,32,KV,45,5225,0.00861244019138756
D03-I,32,Region,2589,5225,0.4955023923444976
D03-I,32,TOU,625,5225,0.11961722488038277
D03-I,32,Demand,936,5225,0.17913875598086124
D03-I,32,Compressible,185,5225,0.0354066985645933
D03-I,33,Normal,207,5365,0.0385834109972041
D03-I,33,Resource,615,5365,0.11463187325256291
D03-I,33,KV,80,5365,0.014911463187325256
D03-I,33,Region,2760,5365,0.5144454799627214
D03-I,33,TOU,665,5365,0.1239515377446412
D03-I,33,Demand,873,5365,0.16272134203168687
D03-I,33,Compressible,165,5365,0.03075489282385834
D03-I,34,Normal,168,5440,0.030882352941176472
D03-I,34,Resource,693,5440,0.12738970588235293
D03-I,34,KV,55,5440,0.01011029411764706
D03-I,34,Region,2653,5440,0.48768382352941175
D03-I,34,TOU,670,5440,0.12316176470588236
D03-I,34,Demand,1018,5440,0.18713235294117647
D03-I,34,Compressible,183,5440,0.03363970588235294
D03-I,35,Normal,203,5560,0.03651079136690648
D03-I,35,Resource,653,5560,0.11744604316546763
D03-I,35,KV,80,5560,0.014388489208633094
D03-I,35,Region,2807,5560,0.5048561151079136
D03-I,35,TOU,655,5560,0.11780575539568346
D03-I,35,Demand,1002,5560,0.1802158273381295
D03-I,35,Compressible,160,5560,0.02877697841726619
D03-I,36,Normal,218,5415,0.04025854108956602
D03-I,36,Resource,671,5415,0.12391505078485687
D03-I,36,KV,55,5415,0.010156971375807941
D03-I,36,Region,2674,5415,0.4938134810710988
D03-I,36,TOU,645,5415,0.11911357340720222
D03-I,36,Demand,1011,5415,0.18670360110803325
D03-I,36,Compressible,141,5415,0.0260387811634349
D03-I,37,Normal,165,5090,0.03241650294695481
D03-I,37,Resource,591,5090,0.11611001964636543
D03-I,37,KV,43,5090,0.008447937131630648
D03-I,37,Region,2536,5090,0.49823182711198427
D03-I,37,TOU,665,5090,0.13064833005893908
D03-I,37,Demand,976,5090,0.19174852652259333
D03-I,37,Compressible,114,5090,0.022396856581532416
D03-I,38,Normal,222,5225,0.042488038277511964
D03-I,38,Resource,624,5225,0.11942583732057416
D03-I,38,KV,45,5225,0.00861244019138756
D03-I,38,Region,2651,5225,0.5073684210526316
D03-I,38,TOU,685,5225,0.13110047846889952
D03-I,38,Demand,913,5225,0.17473684210526316
D03-I,38,Compressible,85,5225,0.016267942583732056
D03-I,39,Normal,175,5285,0.033112582781456956
D03-I,39,Resource,698,5285,0.13207190160832544
D03-I,39,KV,50,5285,0.00946073793755913
D03-I,39,Region,2746,5285,0.5195837275307474
D03-I,39,TOU,645,5285,0.12204351939451277
D03-I,39,Demand,886,5285,0.16764427625354777
D03-I,39,Compressible,85,5285,0.01608325449385052
D03-I,40,Normal,202,5335,0.03786316776007498
D03-I,40,Resource,710,5335,0.1330834114339269
D03-I,40,KV,26,5335,0.004873477038425492
D03-I,40,Region,2566,5335,0.4809746954076851
D03-I,40,TOU,780,5335,0.14620431115276475
D03-I,40,Demand,951,5335,0.1782567947516401
D03-I,40,Compressible,100,5335,0.01874414245548266
D03-I,41,Normal,194,5560,0.034892086330935254
D03-I,41,Resource,686,5560,0.12338129496402878
D03-I,41,KV,46,5560,0.008273381294964029
D03-I,41,Region,2795,5560,0.5026978417266187
D03-I,41,TOU,835,5560,0.15017985611510792
D03-I,41,Demand,899,5560,0.1616906474820144
D03-I,41,Compressible,105,5560,0.018884892086330936
D03-I,42,Normal,194,5425,0.03576036866359447
D03-I,42,Resource,638,5425,0.1176036866359447
D03-I,42,KV,40,5425,0.007373271889400922
D03-I,42,Region,2858,5425,0.5268202764976958
D03-I,42,TOU,756,5425,0.1393548387096774
