suite,scenario,instance_seed,state,consensus,tied_runs
D03-II,D03II_long,8101,35,0.6666666666666666,0
D03-II,D03II_long,8101,36,0.6666666666666666,0
D03-II,D03II_long,8101,37,0.3333333333333333,0
D03-II,D03II_long,8102,8,1.0,0
D03-II,D03II_long,8102,9,0.3333333333333333,0
D03-II,D03II_long,8102,20,0.3333333333333333,0
D03-II,D03II_long,8102,22,0.3333333333333333,0
D03-II,D03II_long,8102,23,0.3333333333333333,0
D03-II,D03II_long,8102,34,0.6666666666666666,0
D03-II,D03II_long,8102,36,0.6666666666666666,0
D03-II,D03II_long,8102,37,0.3333333333333333,0
D03-II,D03II_long,8103,8,0.6666666666666666,0
D03-II,D03II_long,8103,9,0.6666666666666666,0
D03-II,D03II_long,8103,20,0.6666666666666666,0
D03-II,D03II_long,8103,22,0.6666666666666666,0
D03-II,D03II_long,8103,23,0.3333333333333333,0
D03-II,D03II_long,8103,36,0.6666666666666666,0
D03-II,D03II_long,8103,37,0.3333333333333333,0
D03-II,D03II_long,8104,6,0.3333333333333333,0
D03-II,D03II_long,8104,8,0.6666666666666666,0
D03-II,D03II_long,8104,9,0.3333333333333333,0
D03-II,D03II_long,8104,20,0.6666666666666666,0
D03-II,D03II_long,8104,22,0.6666666666666666,0
D03-II,D03II_long,8104,23,0.3333333333333333,0
D03-II,D03II_long,8104,36,0.6666666666666666,0
D03-II,D03II_long,8104,37,0.6666666666666666,0
D03-II,D03II_long,8105,8,0.6666666666666666,0
D03-II,D03II_long,8105,9,0.6666666666666666,0
D03-II,D03II_long,8105,20,0.3333333333333333,0
D03-II,D03II_long,8105,22,1.0,0
D03-II,D03II_long,8105,23,0.3333333333333333,0
D03-II,D03II_long,8105,36,1.0,0
D03-II,D03II_long,8105,37,1.0,0
