suite,run,commit,source_hash,dirty,elapsed,archive_final,archive_peak
D03-I,type_i_D03I_Region_soft_j50_i7101_a101_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,1652.8697833000042,16,291
D03-I,type_i_D03I_Region_soft_j50_i7101_a202_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,2170.752508000005,319,887
D03-I,type_i_D03I_Region_soft_j50_i7101_a303_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,1772.255556499993,333,395
D03-I,type_i_D03I_Region_soft_j50_i7102_a101_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,1172.758496800001,266,367
D03-I,type_i_D03I_Region_soft_j50_i7102_a202_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,1813.0778666000115,243,715
D03-I,type_i_D03I_Region_soft_j50_i7102_a303_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,1398.9504075000004,806,833
D03-I,type_i_D03I_Resource_moderate_j50_i7101_a101_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,695.2294976999983,221,863
D03-I,type_i_D03I_Resource_moderate_j50_i7101_a202_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,662.3112329000141,286,286
D03-I,type_i_D03I_Resource_moderate_j50_i7101_a303_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,831.3933086000034,76,307
D03-I,type_i_D03I_Resource_moderate_j50_i7102_a101_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,857.3412439000094,247,326
D03-I,type_i_D03I_Resource_moderate_j50_i7102_a202_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,639.253337800008,219,219
D03-I,type_i_D03I_Resource_moderate_j50_i7102_a303_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,765.3077372999978,229,229
D03-I,type_i_D03I_TOU_soft_j50_i7101_a101_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,445.9291019999946,327,327
D03-I,type_i_D03I_TOU_soft_j50_i7101_a202_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,405.62538589999895,850,850
D03-I,type_i_D03I_TOU_soft_j50_i7101_a303_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,648.2043345000129,135,739
D03-I,type_i_D03I_TOU_soft_j50_i7102_a101_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,917.0131912999786,503,793
D03-I,type_i_D03I_TOU_soft_j50_i7102_a202_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,1466.419049899996,274,2761
D03-I,type_i_D03I_TOU_soft_j50_i7102_a303_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,530.2516404999769,433,448
D03-II,type_ii_D03II_long_long_j50_i8101_a101_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,664.0877024999936,35,123
D03-II,type_ii_D03II_long_long_j50_i8101_a202_g50,5f4c5f251ffe75e4abec418f8a1a12a67e044b89,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,1058.4542117000092,156,283
D03-II,type_ii_D03II_long_long_j50_i8101_a303_g50,2526ad1afc425b4d6ff847055eebd4785744acc8,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,458.8861538999772,239,561
D03-II,type_ii_D03II_long_long_j50_i8102_a101_g50,2526ad1afc425b4d6ff847055eebd4785744acc8,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,341.69058860000223,84,158
D03-II,type_ii_D03II_long_long_j50_i8102_a202_g50,2526ad1afc425b4d6ff847055eebd4785744acc8,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,414.0654215000104,59,712
D03-II,type_ii_D03II_long_long_j50_i8102_a303_g50,2526ad1afc425b4d6ff847055eebd4785744acc8,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,472.9816692000022,315,368
D03-II,type_ii_D03II_long_long_j50_i8103_a101_g50,2526ad1afc425b4d6ff847055eebd4785744acc8,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,448.2559997999924,98,162
D03-II,type_ii_D03II_long_long_j50_i8103_a202_g50,2526ad1afc425b4d6ff847055eebd4785744acc8,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,388.28587900000275,348,348
D03-II,type_ii_D03II_long_long_j50_i8103_a303_g50,2526ad1afc425b4d6ff847055eebd4785744acc8,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,490.073976899992,132,365
D03-II,type_ii_D03II_long_long_j50_i8104_a101_g50,2526ad1afc425b4d6ff847055eebd4785744acc8,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,394.62655850002193,73,353
D03-II,type_ii_D03II_long_long_j50_i8104_a202_g50,2526ad1afc425b4d6ff847055eebd4785744acc8,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,384.2995644999901,60,161
D03-II,type_ii_D03II_long_long_j50_i8104_a303_g50,2526ad1afc425b4d6ff847055eebd4785744acc8,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,433.6084770000016,202,265
D03-II,type_ii_D03II_long_long_j50_i8105_a101_g50,2526ad1afc425b4d6ff847055eebd4785744acc8,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,366.8331266999885,109,109
D03-II,type_ii_D03II_long_long_j50_i8105_a202_g50,2526ad1afc425b4d6ff847055eebd4785744acc8,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,370.21313859999646,88,279
D03-II,type_ii_D03II_long_long_j50_i8105_a303_g50,2526ad1afc425b4d6ff847055eebd4785744acc8,04e7ab2271695fa7d19418c92f8fd64c501610abff974d27b29293157327d373,False,460.14318600000115,131,200
