suite,accepted,changed,n,median_pre_move_leader_gap,q1_pre_move_leader_gap,q3_pre_move_leader_gap
D03-I,0,False,169371,1.0698441642481091,0.4936476755481738,3.6249338274219163
D03-I,1,False,35137,1.0144706174682174,0.45794066255121035,3.0521550121968533
D03-I,1,True,1100,0.12483136694127694,0.025330742603651424,0.3878960959208366
D03-II,0,False,55737,0.5421252997148451,0.37603911050238725,0.7500099156770825
D03-II,1,False,20081,0.49380193251587334,0.327527913378977,0.6963898567557101
D03-II,1,True,222,0.1135209221393414,0.02423803048953188,0.31349982990776626
