suite,scenario,severity,n,ratio_median,ratio_q1,ratio_q3,ratio_zero_share,above_threshold_share,winner_share,winner_given_above
D03-I,D03I_Compressible,Resource,35465,0.0,0.0,0.0,1.0,0.0,0.0,
D03-I,D03I_Compressible,KV,35465,0.0,0.0,0.0026695141484249,0.7220922035809954,0.0,0.0,
D03-I,D03I_Compressible,Region,35465,1.4997232982844493,1.020958083832335,2.42826780021254,0.0,0.7789087833074863,0.3821232200761314,0.49058789458441937
D03-I,D03I_Compressible,TOU,35465,0.0,0.0,0.0,1.0,0.0,0.0,
D03-I,D03I_Compressible,Demand,35465,1.895055427664123,1.6778664239308916,2.074780204479453,0.0,1.0,0.6123784012406598,0.6123784012406598
D03-I,D03I_Compressible,Compressible,35465,0.5885650224215137,0.4764573991031301,0.7451923076922945,0.0,0.150627379106161,0.005498378683208798,0.036503182328715834
D03-I,D03I_Demand,Resource,35060,1.064441887226677,0.8889528193325491,1.3693901035672924,0.0,0.5678836280661723,0.05387906446092413,0.09487694625816173
D03-I,D03I_Demand,KV,35060,0.025825133033817352,0.0176366843033507,0.033512064343163,0.0012549914432401596,0.0,0.0,
D03-I,D03I_Demand,Region,35060,1.1028037383177582,0.6110757479312536,1.6226415094339623,0.0,0.6466913861950941,0.28548203080433543,0.4414501830370926
D03-I,D03I_Demand,TOU,35060,0.0,0.0,0.0,1.0,0.0,0.0,
D03-I,D03I_Demand,Demand,35060,1.558746522664048,1.4032511176059734,1.7358802582170278,0.0,0.9271819737592698,0.5984027381631489,0.6453994524256313
D03-I,D03I_Demand,Compressible,35060,0.002824858757062,0.0,0.0028768699654775,0.4691671420422133,0.0,0.0,
D03-I,D03I_KV,Resource,27445,0.0,0.0,0.0,1.0,0.0,0.0,
D03-I,D03I_KV,KV,27445,0.2857142857142585,0.0,0.9067357512952584,0.49655674986336307,0.23016942976862817,0.16509382401165967,0.7172708564191863
D03-I,D03I_KV,Region,27445,1.2264150943396228,0.9268292682926828,1.8116975748930104,0.0,0.587648023319366,0.4777919475314265,0.8130580357142857
D03-I,D03I_KV,TOU,27445,0.0,0.0,0.0,1.0,0.0,0.0,
D03-I,D03I_KV,Demand,27445,0.9860715416270972,0.6924603174603174,1.1130513802927595,0.0,0.4728001457460375,0.07903078885042814,0.16715474722564735
D03-I,D03I_KV,Compressible,27445,0.8986928104574183,0.7189542483659347,1.11111111111099,0.0,0.3898706503916925,0.1441792676261614,0.3698130841121495
D03-I,D03I_Normal,Resource,31535,0.0,0.0,0.0,1.0,0.0,0.0,
D03-I,D03I_Normal,KV,31535,0.0049043648847469,0.0,0.0101419878296135,0.34479150150626287,0.0,0.0,
D03-I,D03I_Normal,Region,31535,2.039312039312039,1.5413533834586464,2.637231503579952,9.513239257967338e-05,0.8879023307436182,0.7025210084033613,0.7912142857142858
D03-I,D03I_Normal,TOU,31535,0.0,0.0,0.0,1.0,0.0,0.0,
D03-I,D03I_Normal,Demand,31535,1.032895431043579,0.8145096701471286,1.1175595238095235,0.0,0.5684160456635484,0.0003488187727921357,0.0006136680613668061
D03-I,D03I_Normal,Compressible,31535,1.6175748649973865,1.39481707317059,1.8064024390242064,0.0,0.9984461709211987,0.2971301728238465,0.29759258082957507
D03-I,D03I_Region,Resource,53880,0.0346740638002765,0.00669344042838,0.0797503467406361,0.2475872308834447,0.0002969561989606533,0.0,0.0
D03-I,D03I_Region,KV,53880,0.0103305785123964,0.009140767824497,0.0164581961816981,0.04246473645137342,0.0,0.0,
D03-I,D03I_Region,Region,53880,5.0,5.0,5.0,0.0,0.9945063103192279,0.9909799554565701,0.9964541654225142
D03-I,D03I_Region,TOU,53880,0.0,0.0,0.0,1.0,0.0,0.0,
D03-I,D03I_Region,Demand,53880,1.1783333333333337,0.9777777777777776,1.351851851851852,0.0,0.7439680772086117,0.009020044543429844,0.01212423599850318
D03-I,D03I_Region,Compressible,53880,0.0346740638002765,0.01004016064257,0.0535475234270403,0.08999628804751299,0.0,0.0,
D03-I,D03I_Resource,Resource,32585,5.0,5.0,5.0,0.0,1.0,1.0,1.0
D03-I,D03I_Resource,KV,32585,0.0109080992637031,0.007112375533428,0.0147192028985506,0.005063679607181218,0.0,0.0,
D03-I,D03I_Resource,Region,32585,1.116935483870968,0.4913622203341812,1.4777179236043103,0.0,0.5659659352462789,0.0,0.0
D03-I,D03I_Resource,TOU,32585,0.0,0.0,0.0,1.0,0.0,0.0,
D03-I,D03I_Resource,Demand,32585,1.067879915140189,0.8358115468409586,1.2710317460317455,0.0,0.5422433635108178,0.0,0.0
D03-I,D03I_Resource,Compressible,32585,0.0355297157622731,0.0129198966408265,0.0678294573643396,0.055056007365352155,0.0,0.0,
D03-I,D03I_TOU,Resource,41040,0.0858369098712434,0.0214592274678108,0.1824034334763922,0.06162280701754386,7.309941520467836e-05,0.0,0.0
D03-I,D03I_TOU,KV,41040,0.0146443514644349,0.0106428267347806,0.0196335078534028,0.003460038986354776,0.0,0.0,
D03-I,D03I_TOU,Region,41040,1.2577639751552794,0.4754098360655737,2.0141843971631204,0.0,0.5402046783625731,0.1861598440545809,0.34460983310780335
D03-I,D03I_TOU,TOU,41040,2.284105740615594,2.239484653277757,2.319955638732931,0.0,1.0,0.8138401559454191,0.8138401559454191
D03-I,D03I_TOU,Demand,41040,1.2132275132275132,1.0232142857142856,1.3171871779014634,0.0,0.8067251461988304,0.0,0.0
D03-I,D03I_TOU,Compressible,41040,0.0156249999999997,0.0089285714285712,0.0334821428571423,0.09388401559454192,0.0,0.0,
D03-II,D03II_long,Resource,95050,0.1269841269841247,0.0645855758880505,0.2329360780064963,0.02925828511309837,0.007880063124671226,0.0,0.0
D03-II,D03II_long,KV,95050,0.1027397260273953,0.0407331975560074,0.194075587334011,0.027764334560757498,0.0021567596002104155,0.0,0.0
D03-II,D03II_long,Region,95050,0.9928556419415844,0.4956980836918258,1.6212611926081155,0.0,0.4981483429773803,0.17146764860599684,0.34421001499503684
D03-II,D03II_long,TOU,95050,2.1026490066225163,2.0718050065876152,2.137285491419657,0.0,1.0,0.8228826933193056,0.8228826933193056
D03-II,D03II_long,Demand,95050,1.4276086083302435,1.2228090428090426,1.6501389503840485,0.0,0.9719936875328774,0.005597054182009469,0.00575832359180846
D03-II,D03II_long,Compressible,95050,0.5606523955147713,0.4497354497354418,0.7204767063921864,0.0,0.05912677538137822,5.2603892688058915e-05,0.0008896797153024911
