count,generation_bin,group,level,margin_mean,margin_median,margin_p90,suite
1685,41-50,type_ii_D03II_long_long_j50_i8102_a202_g50,run,0.5449649685507552,0.6101797305051662,0.6308709238334991,D03 Type-II
6490,all,type_ii_D03II_long_long_j50_i8102_a303_g50,run,0.4200956472764737,0.40649727904629884,0.5896358316701453,D03 Type-II
135,Generation 1,type_ii_D03II_long_long_j50_i8102_a303_g50,run,0.2808650324350874,0.18404245044094059,0.7060391027258389,D03 Type-II
1010,1-10,type_ii_D03II_long_long_j50_i8102_a303_g50,run,0.3616596456958428,0.25837320657914187,0.847283043889766,D03 Type-II
1645,11-20,type_ii_D03II_long_long_j50_i8102_a303_g50,run,0.4160809754293098,0.38195152375422126,0.5599189895173873,D03 Type-II
985,21-30,type_ii_D03II_long_long_j50_i8102_a303_g50,run,0.4560462400269771,0.4981099830423321,0.5856306684327162,D03 Type-II
1390,31-40,type_ii_D03II_long_long_j50_i8102_a303_g50,run,0.4554348136632137,0.4688244761774176,0.5896358316701453,D03 Type-II
1460,41-50,type_ii_D03II_long_long_j50_i8102_a303_g50,run,0.40714477169305424,0.39740062389708775,0.6005981761791621,D03 Type-II
6485,all,type_ii_D03II_long_long_j50_i8103_a101_g50,run,0.8128004657660717,0.8782703343509695,1.0573479629222353,D03 Type-II
160,Generation 1,type_ii_D03II_long_long_j50_i8103_a101_g50,run,0.3393071367504145,0.26068370557732234,0.5489111166064016,D03 Type-II
1085,1-10,type_ii_D03II_long_long_j50_i8103_a101_g50,run,0.4953826551742474,0.4945289616640487,0.8303737739881281,D03 Type-II
1125,11-20,type_ii_D03II_long_long_j50_i8103_a101_g50,run,0.8196616266849761,0.905837036671951,1.087028319379568,D03 Type-II
1340,21-30,type_ii_D03II_long_long_j50_i8103_a101_g50,run,0.9011844478033617,0.9702040733861808,1.1243539652634638,D03 Type-II
1405,31-40,type_ii_D03II_long_long_j50_i8103_a101_g50,run,0.9038109071760106,0.917759658737751,1.0445585623101203,D03 Type-II
1530,41-50,type_ii_D03II_long_long_j50_i8103_a101_g50,run,0.8718692973656988,0.887048076490855,1.0207212314416898,D03 Type-II
5520,all,type_ii_D03II_long_long_j50_i8103_a202_g50,run,0.7854964000200152,0.828247950048898,0.9476466713414504,D03 Type-II
100,Generation 1,type_ii_D03II_long_long_j50_i8103_a202_g50,run,0.3276537489290917,0.3124543299583711,0.5293062358677418,D03 Type-II
