count,generation_bin,group,level,p_above_threshold,p_argmax,p_argmax_given_above,ratio_iqr,ratio_max,ratio_mean,ratio_median,ratio_min,ratio_p90,ratio_p95,ratio_q1,ratio_q3,raw_max,raw_mean,raw_median,raw_min,raw_p90,raw_p95,raw_q1,raw_q3,severity,suite
6515,all,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.00015349194167306216,0.0,0.0,0.10052910052909876,1.153439153439133,0.1430106347988134,0.11111111111110915,0.005291005291005198,0.28571428571428065,0.3915343915343847,0.06349206349206236,0.16402116402116113,0.23068783068782664,0.02860212695976268,0.02222222222222183,0.0010582010582010396,0.057142857142856135,0.07830687830687694,0.012698412698412475,0.032804232804232225,resource,D03 Type-II
6515,all,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.003990790483499616,0.0,0.0,0.1910339087373725,1.103341103341089,0.16791905888931521,0.11224489795918177,0.0,0.38825757575756964,0.4867256637168069,0.06048387096774092,0.2515177797051134,0.2206682206682178,0.03358381177786305,0.022448979591836355,0.0,0.07765151515151393,0.09734513274336139,0.012096774193548184,0.05030355594102269,kv,D03 Type-II
6515,all,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.6587874136607829,0.041596316193399846,0.06314072693383038,1.0908612678737197,3.372193436960276,1.1388177599561613,1.2469065296021324,0.01619239753663234,1.6554508748317627,1.9582089122948436,0.49434954007884396,1.5852108079525637,0.6744386873920553,0.22776355199123227,0.2493813059204265,0.0032384795073264684,0.33109017496635257,0.39164178245896875,0.0988699080157688,0.3170421615905128,region,D03 Type-II
6515,all,type_ii_D03II_long_long_j50_i8101_a101_g50,run,1.0,0.9548733691481197,0.9548733691481197,0.032851997492613805,2.2676991150442474,2.0947226762321227,2.0963995354239255,1.9487179487179487,2.138888888888889,2.172549924080801,2.0787182504412702,2.111570247933884,0.45353982300884954,0.4189445352464246,0.41927990708478513,0.38974358974358975,0.42777777777777776,0.4345099848161602,0.4157436500882541,0.4223140495867769,tou,D03 Type-II
6515,all,type_ii_D03II_long_long_j50_i8101_a101_g50,run,1.0,0.0035303146584804296,0.0035303146584804296,0.17727914061247385,2.403866776970922,1.3876004337970953,1.3804006968641114,1.0828571428571427,1.5640173299593592,1.6849028723305501,1.282260702260702,1.4595398428731758,0.4807733553941844,0.2775200867594191,0.2760801393728223,0.21657142857142855,0.31280346599187187,0.33698057446611,0.25645214045214043,0.2919079685746352,demand,D03 Type-II
6515,all,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.031772831926323866,0.0,0.0,0.17460317460317148,1.5714285714285439,0.585996905797356,0.534391534391525,0.19576719576719234,0.7513227513227381,0.8835978835978681,0.481481481481473,0.6560846560846445,0.3142857142857088,0.11719938115947119,0.106878306878305,0.03915343915343847,0.15026455026454763,0.1767195767195736,0.0962962962962946,0.1312169312169289,compressible,D03 Type-II
95050,all,D03 Type-II,suite,0.007880063124671226,0.0,0.0,0.16835050211844582,1.9160387513454984,0.18286548373184427,0.12698412698412473,0.0,0.39682539682538986,0.5525460455037821,0.06458557588805051,0.23293607800649632,0.3832077502690997,0.03657309674636886,0.02539682539682495,0.0,0.07936507936507797,0.11050920910075641,0.012917115177610104,0.04658721560129927,resource,D03 Type-II
95050,all,D03 Type-II,suite,0.0021567596002104155,0.0,0.0,0.15334238977800355,1.296456352636109,0.15461547962672845,0.10273972602739531,0.0,0.36053130929790705,0.5028439576837448,0.040733197556007454,0.194075587334011,0.25929127052722184,0.030923095925345694,0.020547945205479062,0.0,0.07210626185958141,0.10056879153674897,0.008146639511201492,0.038815117466802204,kv,D03 Type-II
95050,all,D03 Type-II,suite,0.4981483429773803,0.17146764860599684,0.34421001499503684,1.1255631089162899,3.882516510253736,1.1473813472250536,0.9928556419415843,0.0020881186051390265,2.412854030501089,2.572134831460674,0.4956980836918258,1.6212611926081157,0.7765033020507472,0.2294762694450107,0.19857112838831686,0.00041762372102780533,0.48257080610021785,0.5144269662921348,0.09913961673836516,0.32425223852162316,region,D03 Type-II
95050,all,D03 Type-II,suite,1.0,0.8228826933193056,0.8228826933193056,0.06548048483204161,2.31811697574893,2.1077939503836114,2.1026490066225163,1.9017094017094016,2.1726190476190474,2.211213044043697,2.0718050065876152,2.137285491419657,0.463623395149786,0.42155879007672226,0.4205298013245033,0.3803418803418803,0.43452380952380953,0.44224260880873945,0.41436100131752307,0.42745709828393136,tou,D03 Type-II
95050,all,D03 Type-II,suite,0.9719936875328774,0.005597054182009469,0.00575832359180846,0.4273299075750059,2.4611778347552713,1.441575214096716,1.4276086083302435,0.7617283950617285,1.7897355912061796,1.8783996293686214,1.2228090428090426,1.6501389503840485,0.4922355669510543,0.2883150428193432,0.2855217216660487,0.15234567901234572,0.35794711824123593,0.3756799258737243,0.24456180856180854,0.3300277900768097,demand,D03 Type-II
95050,all,D03 Type-II,suite,0.05912677538137822,5.2603892688058915e-05,0.0008896797153024911,0.27074125665674464,2.22731906218141,0.603281751199451,0.5606523955147713,0.04843918191603788,0.898815931108703,1.0317460317460136,0.4497354497354418,0.7204767063921864,0.44546381243628197,0.12065635023989023,0.11213047910295426,0.009687836383207577,0.1797631862217406,0.20634920634920273,0.08994708994708836,0.1440953412784373,compressible,D03 Type-II
125,Generation 1,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.0,0.0,0.0,0.21693121693121312,0.6772486772486653,0.279915343915339,0.2275132275132235,0.005291005291005198,0.5798941798941699,0.6761904761904642,0.14285714285714032,0.35978835978835344,0.13544973544973307,0.0559830687830678,0.045502645502644705,0.0010582010582010396,0.115978835978834,0.13523809523809285,0.028571428571428067,0.0719576719576707,resource,D03 Type-II
125,Generation 1,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.2,0.0,0.0,0.8675348528945083,1.103341103341089,0.4763120016580778,0.22222222222221866,0.0,1.0468749999999862,1.0617469879517938,0.09354536950420808,0.9610802223987164,0.2206682206682178,0.09526240033161557,0.04444444444444373,0.0,0.20937499999999726,0.21234939759035876,0.018709073900841616,0.19221604447974328,kv,D03 Type-II
125,Generation 1,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.712,0.296,0.4157303370786517,1.4258877717894798,3.372193436960276,1.5250083488837707,1.4449541284403669,0.04814305364511629,2.7280632411067187,2.9143247759380224,0.8049610894941642,2.230848861283644,0.6744386873920553,0.30500166977675414,0.2889908256880734,0.00962861072902326,0.5456126482213438,0.5828649551876045,0.16099221789883286,0.44616977225672877,region,D03 Type-II
125,Generation 1,type_ii_D03II_long_long_j50_i8101_a101_g50,run,1.0,0.608,0.608,0.11900540357987177,2.2676991150442474,2.117366810162916,2.123465533522191,1.969144800777454,2.213615023474178,2.252084270170966,2.0535714285714284,2.1725768321513,0.45353982300884954,0.4234733620325832,0.42469310670443816,0.3938289601554908,0.44272300469483566,0.4504168540341932,0.4107142857142857,0.43451536643026006,tou,D03 Type-II
125,Generation 1,type_ii_D03II_long_long_j50_i8101_a101_g50,run,1.0,0.096,0.096,0.26132240277167784,2.2295515043962246,1.8003372262037798,1.7958242714223573,1.4613725394975392,2.062958236691312,2.0647596904850287,1.6633766233766234,1.9246990261483012,0.44591030087924494,0.360067445240756,0.3591648542844715,0.2922745078995079,0.4125916473382624,0.4129519380970058,0.3326753246753247,0.38493980522966026,demand,D03 Type-II
125,Generation 1,type_ii_D03II_long_long_j50_i8101_a101_g50,run,0.704,0.0,0.0,0.17989417989417655,1.5714285714285439,1.0993862433862238,1.0899470899470707,0.6243386243386133,1.392592592592568,1.4656084656084396,0.9947089947089772,1.1746031746031538,0.3142857142857088,0.2198772486772448,0.21798941798941415,0.12486772486772267,0.2785185185185136,0.29312169312168795,0.19894179894179545,0.23492063492063078,compressible,D03 Type-II
