count,generation,mean,median,p_above_threshold,p_argmax,severity,suite
2015,1,0.387787687629661,0.3304442036836343,0.031265508684863524,0.0,resource,D03 Type-II
2015,1,0.39694312138167526,0.29906542056074303,0.05161290322580645,0.0,kv,D03 Type-II
2015,1,1.4835190820518567,1.463947560087399,0.7166253101736972,0.22133995037220844,region,D03 Type-II
2015,1,2.1103836558002187,2.108225108225108,1.0,0.6590570719602977,tou,D03 Type-II
2015,1,1.8620902569713116,1.8680113094699038,0.9995037220843672,0.11712158808933003,demand,D03 Type-II
2015,1,1.140281286757052,1.1213047910295426,0.688833746898263,0.0024813895781637717,compressible,D03 Type-II
1880,2,0.3558606473580187,0.2645502645502599,0.04946808510638298,0.0,resource,D03 Type-II
1880,2,0.3315736718915706,0.22768670309653566,0.019680851063829788,0.0,kv,D03 Type-II
1880,2,1.5183163601744332,1.5541666666666667,0.7324468085106383,0.22021276595744682,region,D03 Type-II
1880,2,2.1086932990119256,2.107977991746905,1.0,0.7127659574468085,tou,D03 Type-II
1880,2,1.802955417663777,1.8012473381791558,0.9973404255319149,0.06702127659574468,demand,D03 Type-II
1880,2,1.057742219032485,1.0346695557962977,0.5765957446808511,0.0,compressible,D03 Type-II
1470,3,0.3723076669854538,0.2698412698412651,0.07959183673469387,0.0,resource,D03 Type-II
1470,3,0.3143782676556938,0.25026735929159233,0.012244897959183673,0.0,kv,D03 Type-II
1470,3,1.5438587910986248,1.5920181247821537,0.7401360544217687,0.22040816326530613,region,D03 Type-II
1470,3,2.1054963169747056,2.106473154381577,1.0,0.7619047619047619,tou,D03 Type-II
1470,3,1.7088069662488847,1.729206517409315,0.998639455782313,0.017687074829931974,demand,D03 Type-II
1470,3,0.9800975619719497,0.974165769644762,0.4380952380952381,0.0,compressible,D03 Type-II
1385,4,0.3499487574503755,0.2645502645502599,0.051263537906137184,0.0,resource,D03 Type-II
1385,4,0.3170596098040267,0.23276633840644234,0.013718411552346571,0.0,kv,D03 Type-II
1385,4,1.527679808227978,1.5576485199751606,0.7494584837545126,0.20144404332129964,region,D03 Type-II
1385,4,2.1032340040159383,2.104438012542209,1.0,0.7783393501805054,tou,D03 Type-II
1385,4,1.6779908338712932,1.676332202647992,1.0,0.020216606498194945,demand,D03 Type-II
1385,4,0.956305685536836,0.9378185524974356,0.37328519855595665,0.0,compressible,D03 Type-II
1255,5,0.33608280451036127,0.2645502645502599,0.036653386454183264,0.0,resource,D03 Type-II
1255,5,0.30617310038770623,0.2159624413145506,0.004780876494023904,0.0,kv,D03 Type-II
1255,5,1.5406029662663498,1.5195663222090456,0.7258964143426295,0.2645418326693227,region,D03 Type-II
1255,5,2.1035341290909617,2.099406528189911,1.0,0.7227091633466135,tou,D03 Type-II
1255,5,1.643955280821043,1.6476398568597146,0.9952191235059761,0.012749003984063745,demand,D03 Type-II
1255,5,0.8840427621778326,0.871559633027508,0.23824701195219122,0.0,compressible,D03 Type-II
1570,6,0.32023708256571654,0.2440476190476142,0.03184713375796178,0.0,resource,D03 Type-II
1570,6,0.30453517532980073,0.24390243902438644,0.0070063694267515925,0.0,kv,D03 Type-II
1570,6,1.4302293092069087,1.3677758318739053,0.689171974522293,0.2197452229299363,region,D03 Type-II
1570,6,2.1046090724637065,2.1040517377665724,1.0,0.767515923566879,tou,D03 Type-II
1570,6,1.5991724423414024,1.5843218954248366,0.9974522292993631,0.012738853503184714,demand,D03 Type-II
1570,6,0.8633800492191998,0.8396533044420216,0.20828025477707007,0.0,compressible,D03 Type-II
1495,7,0.312053068919448,0.2222222222222183,0.031438127090301006,0.0,resource,D03 Type-II
1495,7,0.3050366257912686,0.268656716417906,0.0006688963210702341,0.0,kv,D03 Type-II
1495,7,1.3460893428952834,1.279964811963932,0.6454849498327759,0.16923076923076924,region,D03 Type-II
1495,7,2.100117148902861,2.100051440329218,1.0,0.8254180602006689,tou,D03 Type-II
1495,7,1.5568565671488832,1.545440540714931,0.9973244147157191,0.005351170568561873,demand,D03 Type-II
1495,7,0.8144154756007925,0.7951070336391303,0.14983277591973243,0.0,compressible,D03 Type-II
1490,8,0.26963579523430203,0.1851851851851819,0.026845637583892617,0.0,resource,D03 Type-II
1490,8,0.2632385404122113,0.2095808383233498,0.003355704697986577,0.0,kv,D03 Type-II
1490,8,1.3583994884802078,1.279964811963932,0.6771812080536913,0.13624161073825503,region,D03 Type-II
1490,8,2.1057565937478486,2.1114041063709825,1.0,0.863758389261745,tou,D03 Type-II
1490,8,1.5633900138397039,1.5388078277024824,1.0,0.0,demand,D03 Type-II
1490,8,0.7872513474591192,0.7750269106566061,0.0953020134228188,0.0,compressible,D03 Type-II
1525,9,0.2573725395921416,0.16931216931216633,0.03016393442622951,0.0,resource,D03 Type-II
1525,9,0.25436456741406116,0.21428571428571064,0.002622950819672131,0.0,kv,D03 Type-II
1525,9,1.324407190339315,1.2853801169590635,0.660327868852459,0.12655737704918033,region,D03 Type-II
1525,9,2.103880917872428,2.1019473081328752,1.0,0.8701639344262295,tou,D03 Type-II
1525,9,1.555640546770006,1.5747482035360822,0.9973770491803279,0.003278688524590164,demand,D03 Type-II
1525,9,0.768263097012289,0.7427341227125809,0.09836065573770492,0.0,compressible,D03 Type-II
1680,10,0.2465607820145843,0.14880952380952087,0.01488095238095238,0.0,resource,D03 Type-II
1680,10,0.237984934635956,0.18809704545678269,0.0,0.0,kv,D03 Type-II
1680,10,1.2758214042467442,1.1841610233258086,0.6035714285714285,0.1363095238095238,region,D03 Type-II
